time_s,mission_phase,armed,flight_mode,latitude_deg,longitude_deg,absolute_altitude_m,relative_altitude_m,roll_deg,pitch_deg,yaw_deg
4.279,takeoff,True,TAKEOFF,47.397971299999995,8.546164,0.22800001502037048,-0.013000000268220901,0.09737549722194672,-0.28899285197257996,96.79802703857422
4.48,takeoff,True,TAKEOFF,47.397971299999995,8.546164,0.22700001299381256,-0.014000000432133675,0.10219135135412216,-0.28518906235694885,96.79676055908203
4.681,takeoff,True,TAKEOFF,47.397971299999995,8.546164,0.22800001502037048,-0.013000000268220901,0.10080355405807495,-0.2863747477531433,96.79530334472656
4.882,takeoff,True,TAKEOFF,47.397971299999995,8.546164,0.23100000619888306,-0.010000000707805157,0.10040367394685745,-0.13305126130580902,96.7984848022461
5.083,takeoff,True,TAKEOFF,47.397971299999995,8.5461639,0.242000013589859,0.0,0.28081169724464417,0.6919471025466919,96.84732818603516
5.284,takeoff,True,TAKEOFF,47.397971299999995,8.5461637,0.28300002217292786,0.04100000113248825,0.30940136313438416,0.5161147117614746,96.8621826171875
5.485,takeoff,True,TAKEOFF,47.397971299999995,8.5461634,0.3620000183582306,0.12000000476837158,0.2176864743232727,-0.04089527949690819,96.86248016357422
5.685,takeoff,True,TAKEOFF,47.397971299999995,8.5461631,0.4910000264644623,0.24900001287460327,0.1257745325565338,-0.5395147204399109,96.86505889892578
5.886,takeoff,True,TAKEOFF,47.397971299999995,8.5461628,0.6490000486373901,0.40700000524520874,0.06551415473222733,-0.879581093788147,96.90161895751953
6.087,takeoff,True,TAKEOFF,47.397971299999995,8.546162599999999,0.8410000205039978,0.5980000495910645,0.04393462836742401,-1.0806310176849365,96.96415710449219
6.287,takeoff,True,TAKEOFF,47.397971299999995,8.5461625,1.0470000505447388,0.8050000667572021,0.04568135365843773,-1.127009391784668,97.00765228271484
6.488,takeoff,True,TAKEOFF,47.397971299999995,8.5461625,1.2320001125335693,0.9900000691413879,0.0868627279996872,-1.0733051300048828,97.04808044433594
