time_s,armed,flight_mode,latitude_deg,longitude_deg,absolute_altitude_m,relative_altitude_m,roll_deg,pitch_deg,yaw_deg
0.001,,,,,,,,,
0.203,,,47.3979715,8.5461639,0.24300001561641693,0.06599999964237213,0.05561947077512741,-0.3007747232913971,96.8447494506836
0.404,,,47.3979715,8.5461639,0.2460000067949295,0.0690000057220459,0.056040044873952866,-0.2992156147956848,96.83766174316406
0.605,,,47.3979715,8.5461639,0.24700000882148743,0.07000000029802322,0.058469031006097794,-0.29319843649864197,96.83004760742188
0.806,,,47.3979715,8.5461638,0.24800001084804535,0.07000000029802322,0.06409118324518204,-0.28772348165512085,96.82245635986328
1.006,False,HOLD,47.3979715,8.5461638,0.24700000882148743,0.07000000029802322,0.0702228769659996,-0.28768765926361084,96.81647491455078
1.207,False,HOLD,47.3979715,8.5461638,0.24300001561641693,0.06599999964237213,0.07138297706842422,-0.2872089445590973,96.81756591796875
1.409,False,HOLD,47.397971399999996,8.5461637,0.2370000183582306,0.06000000238418579,0.07249794155359268,-0.28727173805236816,96.81729125976562
1.609,False,HOLD,47.397971399999996,8.5461637,0.2290000170469284,0.052000001072883606,0.07437139749526978,-0.28550416231155396,96.81463623046875
1.81,False,HOLD,47.397971299999995,8.5461637,0.22200001776218414,0.04500000178813934,0.07464361935853958,-0.2862716615200043,96.81578063964844
2.01,False,HOLD,47.397971299999995,8.5461637,0.21800000965595245,0.04000000283122063,0.0761086717247963,-0.2862536311149597,96.81471252441406
2.211,False,HOLD,47.397971299999995,8.5461637,0.21300001442432404,0.036000002175569534,0.07970083504915237,-0.28174442052841187,96.8115463256836
2.413,False,HOLD,47.3979712,8.5461636,0.20600001513957977,0.029000001028180122,0.08670523017644882,-0.2817920446395874,96.80430603027344
2.613,False,HOLD,47.3979712,8.5461636,0.20100000500679016,0.024000000208616257,0.08856236189603806,-0.2862626612186432,96.80158233642578
2.815,False,HOLD,47.3979711,8.5461637,0.1990000158548355,0.02200000174343586,0.08815662562847137,-0.2868482768535614,96.79914093017578
3.017,False,HOLD,47.3979711,8.5461637,0.1990000158548355,0.02200000174343586,0.09246090799570084,-0.2879899740219116,96.79795837402344
3.218,False,HOLD,47.3979711,8.5461636,0.20000000298023224,0.023000001907348633,0.0925142914056778,-0.2881198227405548,96.79905700683594
3.418,False,HOLD,47.3979711,8.5461637,0.20100000500679016,0.024000000208616257,0.08921380341053009,-0.2919575870037079,96.80133819580078
3.62,False,HOLD,47.3979711,8.5461637,0.203000009059906,0.02500000037252903,0.08823447674512863,-0.2950367331504822,96.79823303222656
3.82,False,HOLD,47.3979711,8.5461637,0.20400001108646393,0.027000000700354576,0.08399070799350739,-0.2979844808578491,96.79781341552734
4.022,False,HOLD,47.3979712,8.5461637,0.20400001108646393,0.027000000700354576,0.07348863780498505,-0.3024863004684448,96.80116271972656
4.222,False,HOLD,47.3979712,8.5461638,0.203000009059906,0.02500000037252903,0.06758081912994385,-0.3006443679332733,96.80602264404297
4.423,False,HOLD,47.3979712,8.5461638,0.20100000500679016,0.024000000208616257,0.061972763389348984,-0.29560503363609314,96.8125
4.625,False,HOLD,47.397971299999995,8.5461638,0.1990000158548355,0.02200000174343586,0.059826985001564026,-0.2963102161884308,96.8100357055664
4.825,False,HOLD,47.397971299999995,8.5461638,0.1980000138282776,0.021000001579523087,0.057426899671554565,-0.29401713609695435,96.81050872802734
5.026,False,HOLD,47.397971299999995,8.5461637,0.1980000138282776,0.021000001579523087,0.060109950602054596,-0.2903939485549927,96.81121826171875
5.227,False,HOLD,47.397971299999995,8.5461637,0.20000000298023224,0.023000001907348633,0.06487230956554413,-0.29126378893852234,96.8103256225586
5.429,False,HOLD,47.397971299999995,8.5461637,0.20100000500679016,0.023000001907348633,0.07065419107675552,-0.29349809885025024,96.80968475341797
5.63,False,HOLD,47.397971299999995,8.5461637,0.20100000500679016,0.023000001907348633,0.07429139316082001,-0.2916252315044403,96.8074722290039
5.832,False,HOLD,47.397971299999995,8.5461637,0.20100000500679016,0.024000000208616257,0.07268111407756805,-0.2901759147644043,96.80656433105469
6.033,False,HOLD,47.397971299999995,8.5461637,0.20200000703334808,0.024000000208616257,0.0734543427824974,-0.2885321378707886,96.8053207397461
6.233,False,HOLD,47.397971299999995,8.5461637,0.20200000703334808,0.02500000037252903,0.07540948688983917,-0.2942430377006531,96.80857849121094
6.434,False,HOLD,47.3979712,8.5461638,0.203000009059906,0.026000000536441803,0.07756588608026505,-0.30125898122787476,96.8106689453125
6.636,False,HOLD,47.3979712,8.5461638,0.20500001311302185,0.027000000700354576,0.07655826956033707,-0.30745115876197815,96.81269836425781
6.836,False,HOLD,47.3979712,8.5461638,0.20500001311302185,0.02800000086426735,0.07487393915653229,-0.3081473410129547,96.81375885009766
7.037,False,HOLD,47.3979712,8.5461639,0.20600001513957977,0.02800000086426735,0.07563992589712143,-0.30684101581573486,96.81266021728516
7.237,False,HOLD,47.3979712,8.5461639,0.2070000171661377,0.030000001192092896,0.07767065614461899,-0.30316996574401855,96.81143188476562
7.437,False,HOLD,47.3979712,8.5461639,0.2110000103712082,0.03400000184774399,0.07875342667102814,-0.30119195580482483,96.80992889404297
7.638,False,HOLD,47.3979711,8.5461639,0.2150000035762787,0.03800000250339508,0.07907671481370926,-0.29862043261528015,96.808837890625
7.839,False,HOLD,47.3979711,8.5461639,0.21700000762939453,0.04000000283122063,0.07904477417469025,-0.3001844882965088,96.81061553955078
8.04,False,HOLD,47.3979711,8.5461639,0.21800000965595245,0.04100000113248825,0.07922825217247009,-0.29843202233314514,96.80964660644531
8.241,False,HOLD,47.3979711,8.5461639,0.22100001573562622,0.04400000348687172,0.07665205746889114,-0.2981036901473999,96.8076171875
8.441,False,HOLD,47.3979711,8.5461639,0.22200001776218414,0.04500000178813934,0.07256732881069183,-0.3000641465187073,96.80830383300781
8.642,False,HOLD,47.3979711,8.546164,0.22200001776218414,0.04500000178813934,0.0732039138674736,-0.2995453178882599,96.80877685546875
8.843,False,HOLD,47.397971,8.546164,0.22100001573562622,0.04400000348687172,0.07521341741085052,-0.29866650700569153,96.8089599609375
9.044,False,HOLD,47.397971,8.5461639,0.21900001168251038,0.04200000315904617,0.08015168458223343,-0.2955058813095093,96.80909729003906
9.245,False,HOLD,47.397971,8.546164,0.21700000762939453,0.04000000283122063,0.07963422685861588,-0.29562345147132874,96.80769348144531
9.446,False,HOLD,47.3979709,8.546164,0.2160000056028366,0.039000000804662704,0.07820554077625275,-0.2942867577075958,96.8062744140625
9.647,False,HOLD,47.397971,8.546164,0.2160000056028366,0.03800000250339508,0.07388146221637726,-0.2970205247402191,96.80525970458984
9.849,False,HOLD,47.397971,8.546164,0.21700000762939453,0.04000000283122063,0.07392311841249466,-0.3004845976829529,96.80614471435547
10.05,False,HOLD,47.397971,8.5461641,0.21800000965595245,0.04100000113248825,0.07547592371702194,-0.3052808344364166,96.80638885498047
10.251,False,HOLD,47.3979709,8.5461641,0.21800000965595245,0.04000000283122063,0.07684942334890366,-0.3059579133987427,96.80767822265625
10.452,False,HOLD,47.3979709,8.5461641,0.21900001168251038,0.04100000113248825,0.08059318363666534,-0.3056044578552246,96.80887603759766
10.653,False,HOLD,47.3979709,8.5461641,0.22100001573562622,0.04400000348687172,0.07737821340560913,-0.301323264837265,96.80996704101562
10.854,False,HOLD,47.397971,8.5461641,0.22500000894069672,0.04700000211596489,0.07466348260641098,-0.30062010884284973,96.8106689453125
11.056,False,HOLD,47.397971,8.5461641,0.2290000170469284,0.05100000277161598,0.07453495264053345,-0.30002593994140625,96.8079833984375
11.257,False,HOLD,47.397971,8.546164,0.23200000822544098,0.05400000140070915,0.07384875416755676,-0.29527100920677185,96.80934143066406
11.457,False,HOLD,47.397971,8.546164,0.23500001430511475,0.058000002056360245,0.0755113959312439,-0.2921992242336273,96.810791015625
11.658,False,HOLD,47.397971,8.546164,0.23800000548362732,0.06100000441074371,0.07676543295383453,-0.29336586594581604,96.81119537353516
11.859,False,HOLD,47.397971,8.546164,0.2410000115633011,0.06400000303983688,0.08219025284051895,-0.29180091619491577,96.81111907958984
12.06,False,HOLD,47.397971,8.546164,0.24300001561641693,0.06599999964237213,0.08358260244131088,-0.28958356380462646,96.81156921386719
12.261,False,HOLD,47.397971,8.5461639,0.24700000882148743,0.07000000029802322,0.08461828529834747,-0.2885251045227051,96.81002807617188
