time,target_roll_deg,roll_deg,roll_rate_deg_s,torque_nm
1.41,10,15.15,4.06385,-0.00825982
1.42,10,15.1882,3.82738,-0.00825462
1.43,10,15.2241,3.59114,-0.00824615
1.44,10,15.2577,3.35524,-0.00823444
1.45,10,15.2889,3.11977,-0.00821953
1.46,10,15.3177,2.88482,-0.00820145
1.47,10,15.3442,2.65047,-0.00818021
1.48,10,15.3684,2.41682,-0.00815587
1.49,10,15.3903,2.18396,-0.00812845
1.5,10,15.4098,1.95197,-0.00809798
1.51,10,15.427,1.72094,-0.0080645
1.52,10,15.4419,1.49095,-0.00802804
1.53,10,15.4545,1.26209,-0.00798865
1.54,10,15.4649,1.03445,-0.00794636
1.55,10,15.4729,0.808095,-0.0079012
1.56,10,15.4788,0.583117,-0.00785323
1.57,10,15.4824,0.359592,-0.00780247
1.58,10,15.4837,0.137601,-0.00774897
1.59,10,15.4829,-0.082781,-0.00769278
1.6,10,15.4799,-0.301477,-0.00763392
1.61,10,15.4747,-0.518412,-0.00757246
1.62,10,15.4674,-0.733512,-0.00750843
1.63,10,15.4579,-0.946706,-0.00744187
1.64,10,15.4463,-1.15792,-0.00737284
1.65,10,15.4327,-1.36709,-0.00730138
1.66,10,15.4169,-1.57415,-0.00722753
1.67,10,15.3991,-1.77902,-0.00715134
1.68,10,15.3793,-1.98164,-0.00707287
1.69,10,15.3575,-2.18195,-0.00699215
1.7,10,15.3337,-2.37988,-0.00690925
1.71,10,15.3079,-2.57538,-0.0068242
1.72,10,15.2803,-2.76839,-0.00673706
1.73,10,15.2507,-2.95883,-0.00664787
1.74,10,15.2192,-3.14667,-0.0065567
1.75,10,15.1859,-3.33184,-0.00646359
1.76,10,15.1507,-3.51428,-0.00636859
1.77,10,15.1138,-3.69396,-0.00627176
1.78,10,15.0751,-3.8708,-0.00617314
1.79,10,15.0346,-4.04478,-0.0060728
1.8,10,14.9925,-4.21583,-0.00597078
1.81,10,14.9487,-4.38391,-0.00586713
1.82,10,14.9032,-4.54897,-0.00576192
1.83,10,14.8561,-4.71098,-0.00565519
1.84,10,14.8074,-4.86989,-0.005547
1.85,10,14.7571,-5.02566,-0.0054374
1.86,10,14.7053,-5.17826,-0.00532644
1.87,10,14.652,-5.32763,-0.00521419
1.88,10,14.5973,-5.47376,-0.0051007
1.89,10,14.5411,-5.61659,-0.00498602
1.9,10,14.4836,-5.75611,-0.0048702
1.91,10,14.4247,-5.89229,-0.0047533
1.92,10,14.3644,-6.02508,-0.00463538
1.93,10,14.3029,-6.15447,-0.00451649
1.94,10,14.2401,-6.28042,-0.00439668
1.95,10,14.176,-6.40292,-0.00427602
1.96,10,14.1108,-6.52194,-0.00415454
1.97,10,14.0444,-6.63746,-0.00403232
1.98,10,13.9769,-6.74946,-0.0039094
1.99,10,13.9084,-6.85791,-0.00378584
2,10,13.8387,-6.96281,-0.00366169
2.01,10,13.7681,-7.06414,-0.00353701
2.02,10,13.6965,-7.16188,-0.00341185
2.03,10,13.6239,-7.25603,-0.00328626
2.04,10,13.5504,-7.34656,-0.0031603
2.05,10,13.4761,-7.43348,-0.00303402
2.06,10,13.4009,-7.51677,-0.00290748
2.07,10,13.325,-7.59644,-0.00278072
2.08,10,13.2482,-7.67246,-0.0026538
2.09,10,13.1708,-7.74485,-0.00252676
2.1,10,13.0927,-7.81359,-0.00239968
2.11,10,13.0139,-7.8787,-0.00227258
2.12,10,12.9345,-7.94016,-0.00214553
2.13,10,12.8545,-7.99799,-0.00201857
2.14,10,12.774,-8.05219,-0.00189176
2.15,10,12.6929,-8.10275,-0.00176514
2.16,10,12.6114,-8.1497,-0.00163877
2.17,10,12.5295,-8.19304,-0.00151268
2.18,10,12.4472,-8.23277,-0.00138694
2.19,10,12.3645,-8.26891,-0.00126159
2.2,10,12.2815,-8.30147,-0.00113667
2.21,10,12.1982,-8.33047,-0.00101224
2.22,10,12.1146,-8.35592,-0.000888329
2.23,10,12.0308,-8.37784,-0.000764996
2.24,10,11.9469,-8.39624,-0.000642282
2.25,10,11.8628,-8.41114,-0.000520231
2.26,10,11.7785,-8.42257,-0.000398888
2.27,10,11.6942,-8.43054,-0.000278295
2.28,10,11.6099,-8.43508,-0.000158495
2.29,10,11.5255,-8.43621,-3.95303e-05
2.3,10,11.4412,-8.43396,7.8558e-05
2.31,10,11.3569,-8.42836,0.000195729
2.32,10,11.2727,-8.41942,0.000311943
2.33,10,11.1886,-8.40718,0.000427161
2.34,10,11.1047,-8.39167,0.000541344
2.35,10,11.021,-8.37292,0.000654453
2.36,10,10.9375,-8.35097,0.000766453
2.37,10,10.8542,-8.32583,0.000877306
2.38,10,10.7712,-8.29756,0.000986977
2.39,10,10.6886,-8.26618,0.00109543
2.4,10,10.6063,-8.23172,0.00120263
2.41,10,10.5243,-8.19424,0.00130855
2.42,10,10.4428,-8.15375,0.00141315
2.43,10,10.3617,-8.11031,0.0015164
2.44,10,10.281,-8.06395,0.00161827
2.45,10,10.2009,-8.01471,0.00171872
2.46,10,10.1213,-7.96264,0.00181774
2.47,10,10.0422,-7.90777,0.00191529
2.48,10,9.96369,-7.85015,0.00201133
2.49,10,9.8858,-7.78982,0.00210586
2.5,10,9.80853,-7.72683,0.00219883
2.51,10,9.73192,-7.66122,0.00229023
2.52,10,9.65598,-7.59304,0.00238002
2.53,10,9.58076,-7.52233,0.00246819
2.54,10,9.50627,-7.44914,0.00255471
2.55,10,9.43253,-7.37352,0.00263956
2.56,10,9.35958,-7.29552,0.00272272
2.57,10,9.28743,-7.21519,0.00280416
2.58,10,9.2161,-7.13257,0.00288387
2.59,10,9.14562,-7.04772,0.00296183
2.6,10,9.07602,-6.96069,0.00303802
2.61,10,9.0073,-6.87153,0.00311243
2.62,10,8.9395,-6.78028,0.00318503
2.63,10,8.87263,-6.68701,0.00325581
2.64,10,8.80671,-6.59176,0.00332476
2.65,10,8.74177,-6.49459,0.00339186
2.66,10,8.67781,-6.39555,0.00345711
2.67,10,8.61486,-6.2947,0.00352048
2.68,10,8.55294,-6.19208,0.00358196
2.69,10,8.49206,-6.08776,0.00364156
2.7,10,8.43225,-5.98179,0.00369925
2.71,10,8.3735,-5.87421,0.00375502
2.72,10,8.31585,-5.7651,0.00380888
2.73,10,8.25931,-5.65449,0.00386081
2.74,10,8.20388,-5.54246,0.00391081
2.75,10,8.14959,-5.42904,0.00395886
2.76,10,8.09645,-5.31431,0.00400497
2.77,10,8.04447,-5.19831,0.00404914
2.78,10,7.99366,-5.0811,0.00409135
2.79,10,7.94403,-4.96274,0.00413161
2.8,10,7.8956,-4.84328,0.00416992
2.81,10,7.84837,-4.72278,0.00420627
2.82,10,7.80236,-4.60129,0.00424066
2.83,10,7.75757,-4.47888,0.00427311
2.84,10,7.71401,-4.35559,0.00430359
2.85,10,7.6717,-4.23148,0.00433213
2.86,10,7.63063,-4.10661,0.00435872
2.87,10,7.59082,-3.98104,0.00438337
2.88,10,7.55227,-3.85481,0.00440608
2.89,10,7.51499,-3.72799,0.00442686
2.9,10,7.47899,-3.60063,0.00444571
2.91,10,7.44426,-3.47279,0.00446264
2.92,10,7.41081,-3.34451,0.00447766
2.93,10,7.37865,-3.21586,0.00449078
2.94,10,7.34779,-3.08689,0.004502
2.95,10,7.31821,-2.95765,0.00451134
2.96,10,7.28993,-2.82819,0.0045188
2.97,10,7.26294,-2.69858,0.0045244
2.98,10,7.23725,-2.56886,0.00452814
2.99,10,7.21286,-2.43908,0.00453005
3,10,7.18977,-2.3093,0.00453013
3.01,10,7.16797,-2.17957,0.0045284
3.02,10,7.14747,-2.04995,0.00452487
3.03,10,7.12827,-1.92047,0.00451955
3.04,10,7.11036,-1.7912,0.00451247
3.05,10,7.09373,-1.66218,0.00450364
3.06,10,7.0784,-1.53346,0.00449307
3.07,10,7.06435,-1.4051,0.00448078
3.08,10,7.05158,-1.27713,0.0044668
3.09,10,7.04008,-1.14962,0.00445113
3.1,10,7.02986,-1.0226,0.00443379
3.11,10,7.02089,-0.896122,0.00441482
3.12,10,7.01319,-0.770237,0.00439422
3.13,10,7.00674,-0.644988,0.00437202
3.14,10,7.00154,-0.52042,0.00434823
3.15,10,6.99757,-0.396579,0.00432289
3.16,10,6.99484,-0.273507,0.004296
3.17,10,6.99332,-0.15125,0.0042676
3.18,10,6.99303,-0.0298481,0.00423771
3.19,10,6.99393,0.0906547,0.00420634
3.2,10,6.99603,0.210217,0.00417353
3.21,10,6.99932,0.328799,0.00413929
3.22,10,7.00379,0.446361,0.00410366
3.23,10,7.00942,0.562861,0.00406665
3.24,10,7.0162,0.678263,0.00402829
3.25,10,7.02412,0.792528,0.00398861
3.26,10,7.03318,0.90562,0.00394762
3.27,10,7.04335,1.0175,0.00390537
3.28,10,7.05464,1.12813,0.00386188
3.29,10,7.06701,1.23749,0.00381716
3.3,10,7.08047,1.34553,0.00377125
3.31,10,7.09499,1.45222,0.00372418
3.32,10,7.11056,1.55753,0.00367597
3.33,10,7.12718,1.66142,0.00362666
3.34,10,7.14482,1.76387,0.00357626
3.35,10,7.16346,1.86485,0.00352481
3.36,10,7.18311,1.96433,0.00347233
3.37,10,7.20373,2.06227,0.00341886
3.38,10,7.22532,2.15865,0.00336443
3.39,10,7.24785,2.25345,0.00330905
3.4,10,7.27132,2.34664,0.00325277
3.41,10,7.2957,2.43818,0.00319561
3.42,10,7.32098,2.52807,0.0031376
3.43,10,7.34714,2.61627,0.00307877
3.44,10,7.37417,2.70276,0.00301915
3.45,10,7.40205,2.78752,0.00295877
3.46,10,7.43075,2.87054,0.00289766
3.47,10,7.46027,2.95178,0.00283584
3.48,10,7.49058,3.03123,0.00277336
3.49,10,7.52167,3.10887,0.00271024
3.5,10,7.55352,3.18469,0.0026465
3.51,10,7.5861,3.25866,0.00258219
3.52,10,7.61941,3.33078,0.00251732
3.53,10,7.65342,3.40102,0.00245193
3.54,10,7.68812,3.46938,0.00238606
3.55,10,7.72347,3.53583,0.00231972
3.56,10,7.75948,3.60037,0.00225295
3.57,10,7.79611,3.66299,0.00218578
3.58,10,7.83334,3.72367,0.00211825
3.59,10,7.87117,3.78241,0.00205037
3.6,10,7.90956,3.8392,0.00198218
3.61,10,7.9485,3.89402,0.0019137
3.62,10,7.98797,3.94688,0.00184498
3.63,10,8.02795,3.99776,0.00177604
3.64,10,8.06841,4.04666,0.0017069
3.65,10,8.10935,4.09357,0.00163759
3.66,10,8.15073,4.13849,0.00156815
3.67,10,8.19255,4.18143,0.00149861
3.68,10,8.23477,4.22236,0.00142898
3.69,10,8.27738,4.2613,0.00135931
3.7,10,8.32037,4.29825,0.00128962
3.71,10,8.3637,4.3332,0.00121993
3.72,10,8.40736,4.36615,0.00115028
3.73,10,8.45133,4.39711,0.00108069
3.74,10,8.49559,4.42608,0.00101119
3.75,10,8.54012,4.45306,0.000941804
3.76,10,8.5849,4.47806,0.000872564
3.77,10,8.62991,4.50107,0.000803495
3.78,10,8.67514,4.52212,0.000734622
3.79,10,8.72055,4.5412,0.000665971
3.8,10,8.76613,4.55832,0.000597569
3.81,10,8.81187,4.57348,0.000529441
3.82,10,8.85773,4.58671,0.000461613
3.83,10,8.90371,4.598,0.000394108
3.84,10,8.94979,4.60737,0.000326952
3.85,10,8.99593,4.61482,0.000260169
3.86,10,9.04214,4.62037,0.000193783
3.87,10,9.08838,4.62403,0.000127817
3.88,10,9.13464,4.62582,6.22945e-05
3.89,10,9.18089,4.62574,-2.76128e-06
3.9,10,9.22713,4.62381,-6.7328e-05
3.91,10,9.27333,4.62005,-0.000131384
3.92,10,9.31948,4.61446,-0.000194906
3.93,10,9.36555,4.60707,-0.000257875
3.94,10,9.41153,4.5979,-0.000320267
3.95,10,9.4574,4.58695,-0.000382064
3.96,10,9.50314,4.57426,-0.000443245
3.97,10,9.54874,4.55982,-0.000503789
3.98,10,9.59417,4.54367,-0.000563678
3.99,10,9.63943,4.52583,-0.000622892
4,10,9.6845,4.50631,-0.000681413
4.01,10,9.72935,4.48513,-0.000739222
4.02,10,9.77397,4.46232,-0.000796302
4.03,10,9.81835,4.43789,-0.000852635
4.04,10,9.86247,4.41188,-0.000908205
4.05,10,9.90631,4.38429,-0.000962995
4.06,10,9.94986,4.35515,-0.00101699
4.07,10,9.99311,4.32449,-0.00107017
4.08,10,10.036,4.29234,-0.00112253
4.09,10,10.0786,4.2587,-0.00117404
4.1,10,10.1209,4.22362,-0.0012247
4.11,10,10.1627,4.18711,-0.00127448
4.12,10,10.2042,4.14919,-0.00132339
4.13,10,10.2453,4.10991,-0.0013714
4.14,10,10.286,4.06927,-0.0014185
4.15,10,10.3263,4.02731,-0.00146468
4.16,10,10.3661,3.98405,-0.00150992
4.17,10,10.4055,3.93953,-0.00155423
4.18,10,10.4445,3.89376,-0.00159758
4.19,10,10.4829,3.84678,-0.00163996
4.2,10,10.5209,3.79861,-0.00168137
4.21,10,10.5584,3.74929,-0.0017218
4.22,10,10.5954,3.69883,-0.00176124
4.23,10,10.6319,3.64727,-0.00179967
4.24,10,10.6678,3.59464,-0.0018371
4.25,10,10.7032,3.54097,-0.00187351
4.26,10,10.7381,3.48629,-0.0019089
4.27,10,10.7724,3.43062,-0.00194326
4.28,10,10.8061,3.37399,-0.00197659
4.29,10,10.8393,3.31644,-0.00200888
4.3,10,10.8719,3.258,-0.00204012
4.31,10,10.9039,3.19869,-0.0020703
4.32,10,10.9352,3.13854,-0.00209944
4.33,10,10.966,3.07759,-0.00212752
4.34,10,10.9962,3.01587,-0.00215453
4.35,10,11.0257,2.9534,-0.00218048
4.36,10,11.0546,2.89022,-0.00220537
4.37,10,11.0829,2.82636,-0.00222918
4.38,10,11.1105,2.76185,-0.00225192
4.39,10,11.1375,2.69672,-0.0022736
4.4,10,11.1638,2.63099,-0.0022942
4.41,10,11.1894,2.56471,-0.00231373
4.42,10,11.2144,2.4979,-0.00233219
4.43,10,11.2387,2.43059,-0.00234957
4.44,10,11.2623,2.36281,-0.00236589
4.45,10,11.2853,2.29459,-0.00238113
4.46,10,11.3075,2.22597,-0.00239531
4.47,10,11.3291,2.15698,-0.00240843
4.48,10,11.35,2.08764,-0.00242048
4.49,10,11.3702,2.01798,-0.00243148
4.5,10,11.3896,1.94804,-0.00244142
4.51,10,11.4084,1.87784,-0.00245031
4.52,10,11.4265,1.80742,-0.00245815
4.53,10,11.4439,1.7368,-0.00246495
4.54,10,11.4605,1.66602,-0.00247071
4.55,10,11.4765,1.59511,-0.00247545
4.56,10,11.4917,1.52409,-0.00247915
4.57,10,11.5062,1.45299,-0.00248184
4.58,10,11.5201,1.38184,-0.00248351
4.59,10,11.5332,1.31067,-0.00248418
4.6,10,11.5456,1.23952,-0.00248385
4.61,10,11.5573,1.1684,-0.00248253
4.62,10,11.5682,1.09734,-0.00248022
4.63,10,11.5785,1.02638,-0.00247694
4.64,10,11.588,0.955546,-0.0024727
4.65,10,11.5969,0.884858,-0.00246749
4.66,10,11.605,0.814345,-0.00246134
4.67,10,11.6125,0.744036,-0.00245425
4.68,10,11.6192,0.673957,-0.00244623
4.69,10,11.6253,0.604133,-0.0024373
4.7,10,11.6306,0.534592,-0.00242745
4.71,10,11.6353,0.465358,-0.00241671
4.72,10,11.6392,0.396458,-0.00240508
4.73,10,11.6425,0.327915,-0.00239258
4.74,10,11.6451,0.259756,-0.00237921
4.75,10,11.647,0.192004,-0.002365
4.76,10,11.6483,0.124683,-0.00234994
4.77,10,11.6488,0.057817,-0.00233406
4.78,10,11.6488,-0.00857041,-0.00231736
4.79,10,11.648,-0.0744565,-0.00229986
4.8,10,11.6466,-0.139819,-0.00228157
4.81,10,11.6446,-0.204635,-0.00226251
4.82,10,11.6419,-0.268883,-0.00224268
4.83,10,11.6386,-0.332542,-0.00222211
4.84,10,11.6346,-0.39559,-0.0022008
4.85,10,11.63,-0.458007,-0.00217877
4.86,10,11.6248,-0.519773,-0.00215603
4.87,10,11.619,-0.580867,-0.0021326
4.88,10,11.6126,-0.641271,-0.0021085
4.89,10,11.6056,-0.700966,-0.00208373
4.9,10,11.598,-0.759932,-0.00205832
4.91,10,11.5898,-0.818152,-0.00203227
4.92,10,11.5811,-0.875609,-0.0020056
4.93,10,11.5717,-0.932284,-0.00197834
4.94,10,11.5619,-0.988161,-0.00195048
4.95,10,11.5514,-1.04322,-0.00192205
4.96,10,11.5404,-1.09746,-0.00189307
4.97,10,11.5289,-1.15084,-0.00186355
4.98,10,11.5169,-1.20337,-0.00183351
4.99,10,11.5044,-1.25502,-0.00180295
5,10,11.4913,-1.30578,-0.00177191
