time_sec,true_angle_deg,accel_angle_deg,gyro_angle_deg,complementary_angle_deg,measured_gyro_rate_deg_s
0.940,15.009393,15.245874,15.482890,14.917868,4.971130
0.950,15.065322,17.027044,15.531966,15.008145,4.907569
0.960,15.118698,17.295755,15.579487,15.100468,4.752098
0.970,15.169527,13.158211,15.627069,15.108254,4.758274
0.980,15.217819,10.697459,15.683295,15.075140,5.622601
0.990,15.263583,19.122315,15.726556,15.198479,4.326082
1.000,15.306828,15.948475,15.771523,15.257546,4.496670
1.010,15.347567,11.061352,15.827407,15.228389,5.588448
1.020,15.385810,13.601261,15.867559,15.235195,4.015125
1.030,15.421570,17.351255,15.913984,15.323012,4.642502
1.040,15.454860,14.755668,15.944577,15.341647,3.059306
1.050,15.485694,14.205540,15.978547,15.352215,3.396994
1.060,15.514086,19.016291,16.004126,15.450565,2.557977
1.070,15.540054,12.921836,16.032176,15.427479,2.804998
1.080,15.563611,13.568228,16.067260,15.424676,3.508353
1.090,15.584776,16.113242,16.079419,15.450363,1.215856
1.100,15.603565,16.579703,16.106505,15.499494,2.708652
1.110,15.619998,16.860855,16.129671,15.549424,2.316567
1.120,15.634093,17.912188,16.143853,15.610578,1.418257
1.130,15.645869,16.142316,16.148913,15.626171,0.505931
1.140,15.655348,16.878808,16.163830,15.665843,1.491749
1.150,15.662550,15.014527,16.171669,15.660498,0.783854
1.160,15.667497,15.824243,16.183361,15.675231,1.169192
1.170,15.670211,15.939047,16.191145,15.688136,0.778399
1.180,15.670716,16.208461,16.209370,15.716403,1.822533
1.190,15.669034,17.600383,16.210692,15.755378,0.132206
1.200,15.665189,17.053054,16.203591,15.774373,-0.710077
1.210,15.659208,15.769750,16.203988,15.774670,0.039680
1.220,15.651115,13.628300,16.202612,15.730393,-0.137636
1.230,15.640935,15.810113,16.208276,15.737539,0.566447
1.240,15.628697,15.558652,16.207702,15.733399,-0.057402
1.250,15.614425,16.097379,16.201284,15.734388,-0.641847
1.260,15.598150,21.114463,16.201726,15.842423,0.044235
1.270,15.579897,14.270465,16.178990,15.788702,-2.273639
1.280,15.559697,16.615420,16.158712,15.785365,-2.027758
1.290,15.537578,18.208733,16.134236,15.809846,-2.447604
1.300,15.513570,15.758575,16.112180,15.787205,-2.205586
1.310,15.487703,21.332316,16.080386,15.866949,-3.179443
1.320,15.460008,14.514910,16.062873,15.822746,-1.751246
1.330,15.430516,16.240739,16.036720,15.805476,-2.615288
1.340,15.399258,13.402244,15.998829,15.720278,-3.789126
1.350,15.366267,14.487455,15.962862,15.660374,-3.596702
1.360,15.331573,15.953908,15.935843,15.639766,-2.701931
1.370,15.295212,17.410972,15.911368,15.651205,-2.447452
1.380,15.257214,16.054951,15.894544,15.642792,-1.682449
1.390,15.217615,18.365402,15.883471,15.686393,-1.107258
1.400,15.176447,14.939034,15.850852,15.639479,-3.261934
1.410,15.133746,14.303324,15.805484,15.568295,-4.536772
1.420,15.089545,21.849507,15.749494,15.639049,-5.598992
1.430,15.043879,16.029473,15.711255,15.609384,-3.823905
1.440,14.996783,13.198079,15.662959,15.513827,-4.829621
1.450,14.948293,13.212634,15.616467,15.422241,-4.649197
1.460,14.898445,12.541745,15.567060,15.316213,-4.940655
1.470,14.847274,17.188697,15.520120,15.307661,-4.694076
1.480,14.794816,13.883873,15.481565,15.241401,-3.855501
1.490,14.741108,15.059514,15.434506,15.191646,-4.705845
1.500,14.686186,14.527415,15.383727,15.128598,-5.077926
1.510,14.630088,16.458819,15.324773,15.097427,-5.895395
1.520,14.572849,12.455989,15.259585,14.980714,-6.518774
1.530,14.514507,11.825576,15.202820,14.861982,-5.676518
1.540,14.455099,15.015843,15.148468,14.811794,-5.435216
1.550,14.394663,15.897062,15.107680,14.793527,-4.078828
1.560,14.333236,15.164567,15.052818,14.747183,-5.486187
1.570,14.270855,12.247221,15.003841,14.649186,-4.897695
1.580,14.207558,15.901270,14.942110,14.613732,-6.173041
1.590,14.143383,12.283731,14.874035,14.500418,-6.807511
1.600,14.078367,12.774521,14.806897,14.400105,-6.713830
1.610,14.012548,11.652665,14.740894,14.280473,-6.600325
1.620,13.945964,17.198860,14.696974,14.295799,-4.392004
1.630,13.878653,15.462207,14.628746,14.252264,-6.822752
1.640,13.810651,15.323135,14.573127,14.219175,-5.561945
1.650,13.741998,16.860027,14.502943,14.203211,-7.018407
1.660,13.672730,20.704353,14.446839,14.278252,-5.610378
1.670,13.602885,9.329820,14.385804,14.119470,-6.103494
1.680,13.532501,11.686560,14.319915,14.006241,-6.588841
1.690,13.461615,11.921177,14.254471,13.900403,-6.544486
1.700,13.390264,11.263214,14.183667,13.778272,-7.080330
1.710,13.318485,10.624527,14.121262,13.654040,-6.240561
1.720,13.246315,12.497182,14.051275,13.562316,-6.998633
1.730,13.173792,10.132282,13.974789,13.418758,-7.648684
1.740,13.100951,13.938557,13.897584,13.353494,-7.720447
1.750,13.027830,13.157076,13.831721,13.285020,-6.586288
1.760,12.954464,14.157036,13.776884,13.248720,-5.483732
1.770,12.880890,14.150211,13.710503,13.201697,-6.638066
1.780,12.807143,14.314660,13.641739,13.156567,-6.876456
1.790,12.733259,11.799736,13.576090,13.065095,-6.564829
1.800,12.659273,17.962132,13.518519,13.106616,-5.757117
1.810,12.585220,13.171298,13.452206,13.042922,-6.631355
1.820,12.511136,7.854924,13.380835,12.869219,-7.137089
1.830,12.437053,9.931114,13.321621,12.752427,-5.921377
1.840,12.363008,8.011750,13.257040,12.594324,-6.458071
1.850,12.289032,12.332369,13.201402,12.534560,-5.563782
1.860,12.215160,11.910647,13.135065,12.457071,-6.633788
1.870,12.141424,10.970360,13.057618,12.351439,-7.744653
1.880,12.067858,17.095174,12.979207,12.369471,-7.841061
1.890,11.994494,13.366951,12.925167,12.336461,-5.404039
1.900,11.921363,13.736609,12.871958,12.312319,-5.320930
1.910,11.848497,9.520813,12.803803,12.189698,-6.815434
1.920,11.775926,9.278064,12.734331,12.063382,-6.947244
1.930,11.703683,11.795696,12.679957,12.004742,-5.437378
1.940,11.631796,12.064314,12.605407,11.932874,-7.455019
1.950,11.560295,6.919516,12.532956,11.761605,-7.245069
1.960,11.489210,11.038442,12.473240,11.688620,-5.971636
1.970,11.418569,11.453749,12.405678,11.617713,-6.756145
1.980,11.348401,10.810528,12.341719,11.538889,-6.395928
1.990,11.278732,9.245256,12.277007,11.429598,-6.471210
2.000,11.209592,9.860754,12.216844,11.339261,-6.016331
2.010,11.141005,10.698857,12.165807,11.276437,-5.103704
2.020,11.072998,11.299998,12.104827,11.217148,-6.097938
2.030,11.005597,12.517575,12.048893,11.188341,-5.593445
2.040,10.938826,13.640966,11.972048,11.162086,-7.684456
2.050,10.872710,10.136841,11.911882,11.082618,-6.016604
2.060,10.807273,9.666883,11.846051,10.989789,-6.583171
2.070,10.742538,11.836678,11.777928,10.939966,-6.812304
2.080,10.678528,12.205641,11.713265,10.901910,-6.466210
2.090,10.615265,9.529764,11.653713,10.816106,-5.955251
2.100,10.552769,12.528753,11.604939,10.802561,-4.877386
2.110,10.491062,12.940026,11.539026,10.780715,-6.591335
2.120,10.430165,13.659381,11.484787,10.785134,-5.423847
2.130,10.370095,14.815898,11.427268,10.809381,-5.751903
2.140,10.310873,8.144833,11.371858,10.701788,-5.541071
2.150,10.252517,10.287262,11.327964,10.650482,-4.389308
2.160,10.195043,10.223237,11.281246,10.596152,-4.671886
2.170,10.138469,9.893285,11.241829,10.543467,-3.941674
2.180,10.082811,8.459654,11.191401,10.452371,-5.042830
2.190,10.028085,6.314180,11.137580,10.316862,-5.382099
2.200,9.974304,10.206003,11.088488,10.266536,-4.909109
2.210,9.921484,8.000595,11.044095,10.177712,-4.439327
2.220,9.869638,10.084622,11.000155,10.132788,-4.394066
2.230,9.818778,7.833669,10.947119,10.034830,-5.303602
2.240,9.768916,7.019770,10.904485,9.932749,-4.263305
2.250,9.720064,10.305810,10.863969,9.900504,-4.051631
2.260,9.672232,10.049536,10.842792,9.882731,-2.117733
2.270,9.625430,11.073635,10.817524,9.881786,-2.526790
2.280,9.579666,15.044326,10.771459,9.939893,-4.606541
2.290,9.534951,10.228175,10.730971,9.905981,-4.048735
2.300,9.491290,10.703994,10.682134,9.874081,-4.883737
2.310,9.448691,6.754788,10.641343,9.771720,-4.079051
2.320,9.407160,6.189892,10.608874,9.668264,-3.246924
2.330,9.366703,13.323776,10.584603,9.717588,-2.427143
2.340,9.327324,7.018624,10.545932,9.625711,-3.867080
2.350,9.289027,6.679166,10.508944,9.530533,-3.698759
2.360,9.251815,9.154068,10.461098,9.476114,-4.784618
2.370,9.215691,8.990210,10.430218,9.436133,-3.088057
2.380,9.180656,6.924390,10.393229,9.349649,-3.698857
2.390,9.146712,8.384279,10.361595,9.299340,-3.163418
2.400,9.113859,12.187298,10.328272,9.324443,-3.332309
2.410,9.082096,7.067112,10.302299,9.253843,-2.597272
